id,name,y_pos,x_pos,address
EVS_000082,애조로점,33.460977,126.51201,제주특별자치도 제주시 애조로 1230 1층
EVS_000083,제주본점존,33.460977,126.51201,제주특별자치도 제주시 애조로 1230 이브이패스
EVS_000084,제주본점 주차장_대여반납존,33.460973,126.512151,제주특별자치도 제주시 오라이동 190-5
EVS_000085,제주본점,33.460929,126.51189,제주특별자치도 제주시 애조로 1230 이브이패스 1층
EVS_000196,성산점_대여반납존,33.460825,126.931466,제주특별자치도 서귀포시 성산읍 성산중앙로 6 
EVS_000206,성산직영점,33.460791,126.93141,제주특별자치도 서귀포시 성산읍 성산중앙로 6 
EVS_000360,호텔MCC 자전거거치대_대여반납존,33.460791,126.93141,제주특별자치도 서귀포시 성산읍 성산중앙로 6 
EVS_000361,썬라이즈 호텔 베이커리카페_대여반납존,33.460791,126.93141,제주특별자치도 서귀포시 성산읍 성산중앙로 6 
EVS_000377,리치유클레시아빛의축제조형물_대여반납존,33.460469,126.92966,제주특별자치도 서귀포시 성산읍 성산리 392
EVS_000077,제주대학로,33.460422,126.562454,제주특별자치도 제주시 제주대학로 117 
EVS_000394,성산 유채꽃밭쉼터_대여반납존,33.460214,126.928775,제주특별자치도 서귀포시 성산읍 성산리 396-6
EVS_000022,제주대학교 정문,33.460119,126.561133,제주특별자치도 제주시 제주대학로 102 정문
EVS_000037,제주대학교 정문_대여반납존,33.460076,126.56175,제주특별자치도 제주시 아라이동 35-2
EVS_000437,코델리아리조트입구_대여반납존,33.459182,126.910625,제주특별자치도 서귀포시 성산읍 오조리 2210
EVS_000069,생명과학기술혁신센터,33.458725,126.565395,제주특별자치도 제주시 제주대학로 102 
EVS_000070,창업보육센터,33.45845,126.563482,제주특별자치도 제주시 제주대학로 102 
EVS_000038,제주대자연과학관,33.458246,126.560423,제주특별자치도 제주시 제주대학로 102 
EVS_000068,자연과학대학1호관,33.458191,126.564522,제주특별자치도 제주시 제주대학로 102 
EVS_000071,농생명인재사업단,33.458102,126.562126,제주특별자치도 제주시 제주대학로 102 
EVS_000039,창업보육센터2호관,33.458041,126.563682,제주특별자치도 제주시 제주대학로 102 
EVS_000067,스마트그리드연구센터,33.457688,126.565828,제주특별자치도 제주시 제주대학로 102 
EVS_000040,제2도서관,33.457352,126.560368,제주특별자치도 제주시 제주대학로 102 
EVS_000234,해양과학대3호관_대여반납존,33.457327,126.564677,제주특별자치도 제주시 아라일동 1
EVS_000066,해양과학대학,33.457176,126.563617,제주특별자치도 제주시 제주대학로 102 
EVS_000233,제2도서관_대여반납존,33.456944,126.559602,제주특별자치도 제주시 제주대학로 102
EVS_000065,공과대학1호관,33.456757,126.565214,제주특별자치도 제주시 제주대학로 102 
EVS_000041,대운동장,33.456333,126.559118,제주특별자치도 제주시 제주대학로 102 
EVS_000428,제주대학 사거리_대여반납존,33.456312,126.551341,제주특별자치도 제주시 아라일동 424-1
EVS_000062,본관,33.456194,126.56247,제주특별자치도 제주시 제주대학로 102 
EVS_000064,앱창작터,33.456159,126.566065,제주특별자치도 제주시 제주대학로 102 
EVS_000076,제주대학사거리,33.456113,126.551506,제주특별자치도 제주시 제주대학로 102 
EVS_000063,간호대학,33.455845,126.564462,제주특별자치도 제주시 제주대학로 102 
EVS_000025,제주대학교 교양강의동,33.455797,126.564726,제주특별자치도 제주시 제주대학로 102 교양강의동
EVS_000228,제주대학교교양동_대여반납존,33.455525,126.564942,제주특별자치도 제주시 아라일동 1
EVS_000058,해양과학대학4호관,33.455215,126.566024,제주특별자치도 제주시 제주대학로 102 
EVS_000024,제주대학교 학생회관,33.455188,126.560982,제주특별자치도 제주시 제주대학로 102 학생회관
EVS_000230,제주대학생회관_대여반납존,33.455133,126.560966,제주특별자치도 제주시 아라일동 1
EVS_000042,학생회관,33.455102,126.561167,제주특별자치도 제주시 제주대학로 102 
EVS_000061,구라도서관,33.454855,126.562288,제주특별자치도 제주시 제주대학로 102 
EVS_000060,사범대학1호관,33.454824,126.563371,제주특별자치도 제주시 제주대학로 102 
EVS_000020,제주대학교점,33.454759,126.562255,제주특별자치도 제주시 제주대학로 102 
EVS_000080,제주대학교,33.454759,126.562255,제주특별자치도 제주시 제주대학로 102 
EVS_000435,코델리아S호텔입구_대여반납존,33.454583,126.911374,제주특별자치도 서귀포시 성산읍 오조리 998-1
EVS_000059,나노재료및시스템연구실,33.454417,126.564938,제주특별자치도 제주시 제주대학로 102 
EVS_000057,제2운동장,33.454107,126.567229,제주특별자치도 제주시 제주대학로 102 
EVS_000091,테스트존,33.454005,126.306414,제주특별자치도 제주시 애월읍 곽지리 1565-38
EVS_000053,경상대학1호관,33.45399,126.561742,제주특별자치도 제주시 제주대학로 102 
EVS_000043,아라뮤즈홀,33.453979,126.55985,제주특별자치도 제주시 제주대학로 102 
EVS_000054,경상대학2호관,33.453703,126.563301,제주특별자치도 제주시 제주대학로 102 
EVS_000187,광치기해변 주차장 입구_대여반납존,33.453381,126.924515,제주특별자치도 서귀포시 성산읍 고성리 224-1
EVS_000052,미술관,33.4531,126.562171,제주특별자치도 제주시 제주대학로 102 
EVS_000045,제주어센터,33.453079,126.558131,제주특별자치도 제주시 제주대학로 102 
EVS_000117,더럭분교_대여반납존,33.452909,126.344903,제주특별자치도 제주시 애월읍 하가리 1589-4
EVS_000232,중앙도서관_대여반납존,33.452889,126.560803,제주특별자치도 제주시 아라일동 1
EVS_000044,생활관5호관,33.452788,126.556463,제주특별자치도 제주시 제주대학로 102 
EVS_000046,효담교수회관,33.452722,126.560459,제주특별자치도 제주시 제주대학로 102 
EVS_000055,의과대학,33.452676,126.56359,제주특별자치도 제주시 제주대학로 102 
EVS_000197,성산 고성오일시장 입구 버스정류장_대여반납존,33.452349,126.914115,제주특별자치도 서귀포시 성산읍 고성리 1200-2
EVS_000051,골프아카데미,33.452239,126.562483,제주특별자치도 제주시 제주대학로 102 
EVS_000427,장전리 버스정류장_대여반납존,33.452212,126.38556,제주특별자치도 제주시 애월읍 장전리 1174-5
EVS_000056,바이오융합센터2호관,33.451921,126.566668,제주특별자치도 제주시 제주대학로 102 
EVS_000048,학생생활관3호관,33.451699,126.556897,제주특별자치도 제주시 제주대학로 102 
EVS_000173,광치기해변_대여반납존,33.451633,126.923705,제주특별자치도 서귀포시 성산읍 고성리 224-33
EVS_000047,수의과대학,33.451555,126.558455,제주특별자치도 제주시 제주대학로 102 
EVS_000050,의과대학해부학실습실,33.45133,126.559907,제주특별자치도 제주시 제주대학로 102 
EVS_000231,제주대자전거거치대_대여반납존,33.45129,126.557824,제주특별자치도 제주시 아라일동 1
EVS_000009,곽지점,33.450909,126.307854,제주특별자치도 제주시 애월읍 곽지리 1624
EVS_000049,학생생활관1호관,33.450584,126.557267,제주특별자치도 제주시 제주대학로 102 
EVS_000028,제주대학교 후문.,33.450396,126.558467,제주특별자치도 제주시 제주대학로 102 
EVS_000023,제주대학교 후문,33.450366,126.558464,제주특별자치도 제주시 제주대학로 102 후문
EVS_000379,CU 성산고성LH점_대여반납존 ,33.450109,126.910154,제주특별자치도 서귀포시 성산읍 고성동서로 33
EVS_000072,산천단동2길,33.449917,126.558317,제주특별자치도 제주시 산천단동3길 25 
EVS_000229,제주대학교후문_대여반납존,33.449828,126.558144,제주특별자치도 제주시 아라일동 1
EVS_000185,성산스타벅스DT_대여반납존,33.449775,126.920563,제주특별자치도 서귀포시 성산읍 고성리 238
